236,224,220,66008.5
234,221,217,65743.0
235,222,217,66759.0
235,222,217,66413.0
231,218,214,72917.0
231,218,214,72074.5
230,218,215,73140.0
225,213,210,77385.5
224,213,209,78200.5
225,213,210,77956.5
211,203,202,122837.5
211,203,202,119235.0
214,205,203,95639.0
213,205,203,93734.0
214,205,204,92571.0
216,206,204,86166.0
216,207,205,84056.5
218,209,207,74604.5
218,208,204,71359.5
228,218,210,65337.5
228,218,210,67472.5
228,218,210,69813.5
228,218,210,72062.0
229,218,210,72532.0
224,213,207,73418.0
224,214,208,73705.5
225,215,208,73938.5
219,209,204,76350.0
231,240,229,21989.0
217,226,216,21486.5
206,215,208,22362.5
206,215,208,22474.5
205,214,206,22597.5
205,214,207,22812.0
205,214,207,22841.0
204,212,206,22983.0
209,217,208,23060.5
214,222,212,23146.5
211,219,208,23280.0
227,235,216,22997.5
229,238,217,23064.0
229,237,216,23079.0
230,239,216,22985.0
230,238,214,23033.0
229,238,215,23042.0
231,240,215,23120.5
232,241,216,23206.5
232,240,215,23159.0
242,248,233,20098.5
242,248,232,21031.0
243,248,232,21991.5
243,249,231,22602.0
243,249,229,23403.0
244,249,228,23986.0
244,249,228,24056.5
244,249,227,24185.0
244,249,227,24428.5
243,248,226,24450.0
242,248,226,24606.5
243,248,226,24768.0
242,248,226,24929.0
242,248,226,24968.0
242,247,226,25016.0
241,247,226,25177.5
240,247,226,25054.0
240,246,226,25149.0
240,246,226,25340.0
241,247,225,25625.5
241,246,226,25563.0
239,245,223,25775.5
233,239,217,26878.5
235,241,217,26788.0
237,243,218,26822.5
237,243,216,27043.5
238,243,218,26654.5
238,244,218,26038.0
237,244,219,24992.0
237,243,220,23941.5
237,243,223,22747.0
236,243,223,21614.0
236,243,225,21120.0
236,243,226,20312.5
249,249,249,41787.5
249,250,249,44238.0
249,250,249,46683.0
249,250,249,47676.5
249,250,249,47276.0
249,250,249,46813.5
249,250,249,46848.0
249,250,249,47267.5
249,250,249,46713.0
249,250,249,46936.0
249,249,249,47097.5
249,249,249,47238.0
249,249,249,47168.0
249,250,249,47270.0
249,250,249,47482.5
249,250,249,47602.5
249,250,249,48412.0
249,250,249,48470.5
249,250,249,48426.0
249,250,248,51992.0
249,250,248,51253.0
248,250,246,50422.5
248,251,246,43279.0
248,242,202,42461.5
248,241,202,43992.5
248,242,201,42578.0
248,241,201,42518.5
248,241,201,42707.5
248,242,202,42491.0
248,241,201,42735.0
248,242,201,42723.0
248,242,202,42790.0
248,242,202,42930.5
247,242,203,42885.0
247,242,201,43062.0
247,242,202,43316.0
248,242,202,43339.0
247,241,202,43599.0
248,242,202,43682.5
248,242,202,43821.0
246,239,198,44478.0
248,240,200,44398.0
248,240,200,44757.0
246,237,197,51034.0
246,238,195,50205.0
244,233,192,59358.0
244,233,193,58891.0
243,233,193,58498.0
234,226,194,61655.0
239,230,194,54798.5
239,230,193,52886.5
243,234,192,52970.5
244,234,191,52642.0
244,235,192,51923.5
245,236,194,50447.5
245,236,195,47558.0
245,237,197,43198.0
248,239,193,40274.0
248,240,191,41120.0
249,241,191,42020.0
249,240,191,42069.5
249,241,190,43104.5
248,240,189,44445.5
246,235,185,46391.5
245,233,182,46618.5
245,233,181,47779.5
246,235,181,47631.0
248,238,185,48174.5
245,231,180,49273.0
246,231,181,49564.0
246,233,181,49770.0
243,227,179,51261.0
242,227,181,50248.0
243,229,182,48639.5
236,221,184,51724.0
237,223,185,50749.5
239,225,188,48434.5
234,221,184,47277.5
233,223,191,45820.0
235,225,189,44319.0
247,234,199,30319.0
248,237,199,31548.5
248,237,200,31495.5
249,238,199,31551.5
249,238,199,31678.0
249,239,201,31753.5
248,235,193,37339.5
250,246,203,30744.5
250,245,203,31327.5
250,245,202,31399.0
249,245,202,31107.0
249,244,200,31467.0
249,243,199,31471.5
249,244,199,31550.5
248,243,201,31703.5
249,243,198,31120.0
248,244,197,31287.5
248,245,198,31225.0
246,242,191,31985.5
246,242,193,32988.5
245,242,193,33110.0
240,235,204,35186.0
244,241,199,32577.0
245,241,200,31443.0
244,248,215,10734.0
242,246,215,11589.5
244,248,216,12554.5
243,247,215,13509.0
246,250,216,14533.0
245,249,216,13738.5
244,247,215,13658.5
242,245,214,13641.5
246,249,216,13683.5
246,249,216,13569.0
246,249,216,13463.0
241,244,213,13456.0
244,248,215,13475.5
244,248,215,13485.0
246,249,216,13367.0
244,247,215,13217.5
244,248,215,13268.5
244,247,215,13364.0
247,250,216,13259.0
246,249,216,13117.0
245,248,216,13069.5
244,247,216,13103.0
246,249,217,13140.0
246,249,219,13024.0
246,249,219,12943.5
246,248,218,12830.5
243,245,216,12795.0
248,250,220,12853.0
248,250,219,12744.0
